{'x': [26, 33, 30, 48], 'x6': 65, 'S': 246696, 'S_is_cube': False}
{'x': [26, 48, 30, 33], 'x6': 65, 'S': 246696, 'S_is_cube': False}
{'x': [2, 27, 48, 54], 'x6': 67, 'S': 230316, 'S_is_cube': False}
{'x': [2, 48, 27, 54], 'x6': 67, 'S': 230316, 'S_is_cube': False}
{'x': [2, 54, 27, 48], 'x6': 67, 'S': 230316, 'S_is_cube': False}
{'x': [3, 6, 24, 52], 'x6': 67, 'S': 265512, 'S_is_cube': False}
{'x': [3, 24, 6, 52], 'x6': 67, 'S': 265512, 'S_is_cube': False}
{'x': [3, 52, 6, 24], 'x6': 67, 'S': 265512, 'S_is_cube': False}
{'x': [4, 8, 22, 54], 'x6': 67, 'S': 256027, 'S_is_cube': False}
{'x': [4, 22, 8, 54], 'x6': 67, 'S': 256027, 'S_is_cube': False}
{'x': [4, 54, 8, 22], 'x6': 67, 'S': 256027, 'S_is_cube': False}
{'x': [6, 22, 32, 38], 'x6': 67, 'S': 293701, 'S_is_cube': False}
{'x': [6, 32, 22, 38], 'x6': 67, 'S': 293701, 'S_is_cube': False}
{'x': [6, 38, 22, 32], 'x6': 67, 'S': 293701, 'S_is_cube': False}
{'x': [8, 10, 29, 30], 'x6': 67, 'S': 298552, 'S_is_cube': False}
{'x': [8, 29, 10, 30], 'x6': 67, 'S': 298552, 'S_is_cube': False}
{'x': [8, 30, 10, 29], 'x6': 67, 'S': 298552, 'S_is_cube': False}
{'x': [29, 34, 38, 48], 'x6': 67, 'S': 270328, 'S_is_cube': False}
{'x': [29, 38, 34, 48], 'x6': 67, 'S': 270328, 'S_is_cube': False}
{'x': [29, 48, 34, 38], 'x6': 67, 'S': 270328, 'S_is_cube': False}
{'x': [30, 50, 50, 50], 'x6': 67, 'S': 207013, 'S_is_cube': False}
{'x': [4, 18, 19, 66], 'x6': 69, 'S': 158692, 'S_is_cube': False}
{'x': [4, 19, 18, 66], 'x6': 69, 'S': 158692, 'S_is_cube': False}
{'x': [4, 66, 18, 19], 'x6': 69, 'S': 158692, 'S_is_cube': False}
{'x': [5, 24, 30, 58], 'x6': 69, 'S': 262544, 'S_is_cube': False}
{'x': [5, 30, 24, 58], 'x6': 69, 'S': 262544, 'S_is_cube': False}
{'x': [5, 58, 24, 30], 'x6': 69, 'S': 262544, 'S_is_cube': False}
{'x': [8, 24, 36, 50], 'x6': 69, 'S': 299875, 'S_is_cube': False}
{'x': [8, 36, 24, 50], 'x6': 69, 'S': 299875, 'S_is_cube': False}
{'x': [8, 50, 24, 36], 'x6': 69, 'S': 299875, 'S_is_cube': False}
{'x': [16, 36, 36, 68], 'x6': 69, 'S': 68413, 'S_is_cube': False}
{'x': [16, 68, 36, 36], 'x6': 69, 'S': 68413, 'S_is_cube': False}
{'x': [18, 26, 44, 45], 'x6': 69, 'S': 303340, 'S_is_cube': False}
{'x': [18, 44, 26, 45], 'x6': 69, 'S': 303340, 'S_is_cube': False}
{'x': [18, 45, 26, 44], 'x6': 69, 'S': 303340, 'S_is_cube': False}
{'x': [27, 35, 39, 69], 'x6': 70, 'S': 63138, 'S_is_cube': False}
{'x': [27, 39, 35, 69], 'x6': 70, 'S': 63138, 'S_is_cube': False}
{'x': [27, 69, 35, 39], 'x6': 70, 'S': 63138, 'S_is_cube': False}
total 187
